ISO_SOV1;code_spygen;station;GEONAME;TERRITORY1;ISO_TER1;SOVEREIGN1;NoViolence_mean;Corruption_mean;bathy;distCoast;HDI2019;neartt;Gravity;NGO;MarineEcosystemDependency;conflicts;Naturalresourcesrents
ATA;SPY193674;Transect_30;Antarctic 200NM zone beyond the coastline;Antarctica;ATA;Antarctica;NA;NA;-197.910400390625;5159.47696929963;NA;NA;NA;0;NA;0;NA
ATA;SPY193675;Transect_2;Antarctic 200NM zone beyond the coastline;Antarctica;ATA;Antarctica;NA;NA;-53.2813186645508;484.1254591234;NA;NA;NA;0;NA;0;NA
ATA;SPY193676;Transect_9;Antarctic 200NM zone beyond the coastline;Antarctica;ATA;Antarctica;NA;NA;-311.808502197266;357.018526149267;NA;NA;NA;0;NA;0;NA
ATA;SPY193677;Transect_2;Antarctic 200NM zone beyond the coastline;Antarctica;ATA;Antarctica;NA;NA;-53.2813186645508;484.1254591234;NA;NA;NA;0;NA;0;NA
ATA;SPY193678;Transect_3;Antarctic 200NM zone beyond the coastline;Antarctica;ATA;Antarctica;NA;NA;50.1078491210938;210.323522109758;NA;NA;NA;0;NA;0;NA
ATA;SPY193679;Transect_7;Antarctic 200NM zone beyond the coastline;Antarctica;ATA;Antarctica;NA;NA;-309.468292236328;3184.24143474871;NA;NA;NA;0;NA;0;NA
ATA;SPY193680;Transect_1;Antarctic 200NM zone beyond the coastline;Antarctica;ATA;Antarctica;NA;NA;54.8933601379395;708.35016824825;NA;NA;NA;0;NA;0;NA
ATA;SPY193681;Transect_25;Antarctic 200NM zone beyond the coastline;Antarctica;ATA;Antarctica;NA;NA;-528.651123046875;678.948614303553;NA;NA;NA;0;NA;0;NA
ATA;SPY193682;Transect_1;Antarctic 200NM zone beyond the coastline;Antarctica;ATA;Antarctica;NA;NA;54.8933601379395;708.35016824825;NA;NA;NA;0;NA;0;NA
ATA;SPY193683;Transect_3;Antarctic 200NM zone beyond the coastline;Antarctica;ATA;Antarctica;NA;NA;50.1078491210938;210.323522109758;NA;NA;NA;0;NA;0;NA
ATA;SPY193684;Niskin_2;Antarctic 200NM zone beyond the coastline;Antarctica;ATA;Antarctica;NA;NA;-63.5508918762207;3801.36433334631;NA;NA;NA;0;NA;0;NA
ATA;SPY193685;Transect_4;Antarctic 200NM zone beyond the coastline;Antarctica;ATA;Antarctica;NA;NA;-57.3447799682617;1533.09600693552;NA;NA;NA;0;NA;0;NA
ATA;SPY193686;Niskin_6;Antarctic 200NM zone beyond the coastline;Antarctica;ATA;Antarctica;NA;NA;-246.735702514648;534.841744734981;NA;NA;NA;0;NA;0;NA
ATA;SPY193687;Transect_12;Antarctic 200NM zone beyond the coastline;Antarctica;ATA;Antarctica;NA;NA;-212.223693847656;0;NA;NA;NA;0;NA;0;NA
ATA;SPY193688;Niskin_13;Antarctic 200NM zone beyond the coastline;Antarctica;ATA;Antarctica;NA;NA;-380.303314208984;1020.13535204141;NA;NA;NA;0;NA;0;NA
ATA;SPY193689;Transect_15;Antarctic 200NM zone beyond the coastline;Antarctica;ATA;Antarctica;NA;NA;-129.666595458984;279.768678347531;NA;NA;NA;0;NA;0;NA
ATA;SPY193690;Transect_13;Antarctic 200NM zone beyond the coastline;Antarctica;ATA;Antarctica;NA;NA;-267.289794921875;790.67179080913;NA;NA;NA;0;NA;0;NA
