"code_spygen","station","latitude_start","longitude_start","date","mean_SST_1year","median_SST_1year","q95_SST_1year","q05_SST_1year","min_SST_1year","max_SST_1year","mean_SST_5year","median_SST_5year","q95_SST_5year","q05_SST_5year","min_SST_5year","max_SST_5year"
"SPY180591","malpelo_600m","3.98735","-81.57326","2018-03-15",27.030956284153,27.11,28.315,25.71,23.6,28.92,27.1633418803419,27.155,28.6055,25.6,23.6,29.5
"SPY180592","malpelo2","4.00685","-81.60143","2018-03-14",27.0667759562842,27.13,28.3775,25.88,23.75,28.99,27.2088964927288,27.18,28.64,25.704,23.75,29.49
"SPY180593","malpelo6","3.98944","-81.60462","2018-03-16",27.0419945355191,27.105,28.34,25.83,23.68,28.9,27.1823313407344,27.16,28.625,25.69,23.68,29.5
"SPY180594","malpelo2","4.00685","-81.60143","2018-03-14",27.0667759562842,27.13,28.3775,25.88,23.75,28.99,27.2088964927288,27.18,28.64,25.704,23.75,29.49
"SPY180595","malpelo5","4.00885","-81.60547","2018-03-16",27.0646448087432,27.13,28.3775,25.865,23.75,28.99,27.2068915456874,27.18,28.64,25.705,23.75,29.49
"SPY180596","malpelo3","4.00515","-81.59995","2018-03-15",27.0536338797814,27.125,28.365,25.7925,23.67,29,27.1876495726496,27.17,28.6355,25.64,23.67,29.5
"SPY180597","malpelo3","4.00515","-81.59995","2018-03-15",27.0536338797814,27.125,28.365,25.7925,23.67,29,27.1876495726496,27.17,28.6355,25.64,23.67,29.5
"SPY180598","malpelo5","4.00885","-81.60547","2018-03-16",27.0646448087432,27.13,28.3775,25.865,23.75,28.99,27.2068915456874,27.18,28.64,25.705,23.75,29.49
"SPY180599","malpelo4","3.99871","-81.62184","2018-03-15",27.0431967213115,27.105,28.34,25.83,23.68,28.9,27.1831623931624,27.165,28.6255,25.69,23.68,29.5
"SPY180600","bois_flottant","4.02167","-81.585","2018-03-19",27.0494535519126,27.125,28.365,25.78,23.67,29,27.1835604770017,27.16,28.6335,25.64,23.67,29.5
"SPY180602","malpelo6","3.98944","-81.60462","2018-03-16",27.0419945355191,27.105,28.34,25.83,23.68,28.9,27.1823313407344,27.16,28.625,25.69,23.68,29.5
"SPY180604","malpelo4","3.99871","-81.62184","2018-03-15",27.0431967213115,27.105,28.34,25.83,23.68,28.9,27.1831623931624,27.165,28.6255,25.69,23.68,29.5
"SPY180782","camera1","4.00594","-81.60334","2018-03-24",27.0733879781421,27.13,28.3775,25.865,23.75,28.99,27.2019508057676,27.17,28.64,25.709,23.75,29.49
"SPY180778","camera1","4.00594","-81.60334","2018-03-24",27.0733879781421,27.13,28.3775,25.865,23.75,28.99,27.2019508057676,27.17,28.64,25.709,23.75,29.49
"SPY180781","camera2","4.00276","-81.60248","2018-03-24",27.0733879781421,27.13,28.3775,25.865,23.75,28.99,27.2019508057676,27.17,28.64,25.709,23.75,29.49
"SPY180776","camera2","4.00276","-81.60248","2018-03-24",27.0733879781421,27.13,28.3775,25.865,23.75,28.99,27.2019508057676,27.17,28.64,25.709,23.75,29.49
"SPY180605","camera3","4.00286","-81.60259","2018-03-25",27.0753551912568,27.13,28.3775,25.865,23.75,28.99,27.2015677966102,27.17,28.64,25.7095,23.75,29.49
"SPY180601","camera3","4.00286","-81.60259","2018-03-25",27.0753551912568,27.13,28.3775,25.865,23.75,28.99,27.2015677966102,27.17,28.64,25.7095,23.75,29.49
"SPY180603","bruv1","3.99357","-81.61842","2018-03-26",27.0530601092896,27.11,28.34,25.82,23.68,28.9,27.1760795935648,27.16,28.62,25.69,23.68,29.5
"SPY180775","bruv1","3.99357","-81.61842","2018-03-26",27.0530601092896,27.11,28.34,25.82,23.68,28.9,27.1760795935648,27.16,28.62,25.69,23.68,29.5
"SPY180779","bruv2","3.9929","-81.6205","2018-03-26",27.0530601092896,27.11,28.34,25.82,23.68,28.9,27.1760795935648,27.16,28.62,25.69,23.68,29.5
"SPY180777","bruv2","3.9929","-81.6205","2018-03-26",27.0530601092896,27.11,28.34,25.82,23.68,28.9,27.1760795935648,27.16,28.62,25.69,23.68,29.5
"SPY180768","camera4","4.00226","-81.60371","2018-03-27",27.0801912568306,27.13,28.3775,25.905,23.75,28.99,27.2000423011844,27.17,28.6395,25.711,23.75,29.49
"SPY180769","camera4","4.00202","-81.60332","2018-03-27",27.0801912568306,27.13,28.3775,25.905,23.75,28.99,27.2000423011844,27.17,28.6395,25.711,23.75,29.49
"SPY180780","camera5","4.0023","-81.60392","2018-03-27",27.0801912568306,27.13,28.3775,25.905,23.75,28.99,27.2000423011844,27.17,28.6395,25.711,23.75,29.49
"SPY180773","camera5","4.0023","-81.60392","2018-03-27",27.0801912568306,27.13,28.3775,25.905,23.75,28.99,27.2000423011844,27.17,28.6395,25.711,23.75,29.49
"SPY173261","anse_bertrand_cote","16.48538","-61.50429","2018-02-27",27.7787704918033,27.905,29.11,26.2525,25.93,29.53,27.7274263431542,27.66,29.27,26.35,25.93,29.89
"SPY173262","anse_bertrand_cote","16.48538","-61.50429","2018-02-27",27.7787704918033,27.905,29.11,26.2525,25.93,29.53,27.7274263431542,27.66,29.27,26.35,25.93,29.89
"SPY173263","anse_bertrand_large","16.50096","-61.51445","2018-02-27",27.7748907103825,27.905,29.115,26.25,25.91,29.54,27.7260485268631,27.67,29.27,26.34,25.91,29.92
"SPY173264","anse_bertrand_large","16.50096","-61.51445","2018-02-27",27.7748907103825,27.905,29.115,26.25,25.91,29.54,27.7260485268631,27.67,29.27,26.34,25.91,29.92
"SPY173265","anse_colas","16.47047","-61.52166","2018-02-27",27.7787704918033,27.905,29.11,26.2525,25.93,29.53,27.7274263431542,27.66,29.27,26.35,25.93,29.89
"SPY173266","anse_colas","16.47047","-61.52166","2018-02-27",27.7787704918033,27.905,29.11,26.2525,25.93,29.53,27.7274263431542,27.66,29.27,26.35,25.93,29.89
"SPY173267","bouillante_large","16.07855","-61.85716","2018-02-28",28.0098633879781,28.08,29.32,26.4525,26.15,29.65,27.9167705627706,27.86,29.433,26.587,26.13,30.24
"SPY173268","bouillante_large","16.07855","-61.85716","2018-02-28",28.0098633879781,28.08,29.32,26.4525,26.15,29.65,27.9167705627706,27.86,29.433,26.587,26.13,30.24
"SPY173281","chateau_petite_terre","16.20771","-61.14683","2018-03-02",27.7751366120219,27.89,29.085,26.22,26.04,29.55,27.715419187554,27.64,29.192,26.388,26.04,29.92
"SPY173275","fajou","16.359","-61.57521","2018-03-01",27.8186885245902,27.92,29.19,26.21,25.93,29.54,27.7448096885813,27.69,29.2925,26.3375,25.93,29.9
"SPY173276","fajou","16.359","-61.57521","2018-03-01",27.8186885245902,27.92,29.19,26.21,25.93,29.54,27.7448096885813,27.69,29.2925,26.3375,25.93,29.9
"SPY173273","jardin_eden","16.37651","-61.52821","2018-03-01",27.7972404371585,27.905,29.1475,26.2,25.91,29.52,27.7270674740484,27.67,29.28,26.31,25.91,29.86
"SPY173274","jardin_eden","16.37651","-61.52821","2018-03-01",27.7972404371585,27.905,29.1475,26.2,25.91,29.52,27.7270674740484,27.67,29.28,26.31,25.91,29.86
"SPY173251","petit_cul_de_sac_marin_cote","16.20352","-61.53646","2018-02-25",27.9394262295082,28.075,29.3275,26.29,25.98,29.81,27.7874739583333,27.73,29.3845,26.3755,25.98,30.12
"SPY173252","petit_cul_de_sac_marin_cote","16.20352","-61.53646","2018-02-25",27.9394262295082,28.075,29.3275,26.29,25.98,29.81,27.7874739583333,27.73,29.3845,26.3755,25.98,30.12
"SPY173250","petit_cul_de_sac_marin_Large","16.15962","-61.50619","2018-02-25",27.9394262295082,28.075,29.3275,26.29,25.98,29.81,27.7874739583333,27.73,29.3845,26.3755,25.98,30.12
"SPY180501","petit_cul_de_sac_marin_Large","16.15962","-61.50619","2018-02-25",27.9394262295082,28.075,29.3275,26.29,25.98,29.81,27.7874739583333,27.73,29.3845,26.3755,25.98,30.12
"SPY173282","petite_terre1","16.18316","-61.11949","2018-03-02",27.7917213114754,27.895,29.1075,26.25,26.07,29.57,27.7253327571305,27.65,29.2,26.39,26.03,29.94
"SPY173283","petite_terre2","16.17763","-61.09994","2018-03-02",27.7997267759563,27.9,29.1,26.2625,26.09,29.57,27.7345635263613,27.66,29.196,26.4,26.05,30
"SPY173280","pointe_chateau","16.24619","-61.213","2018-03-02",27.7639344262295,27.9,29.0825,26.21,25.99,29.53,27.7018668971478,27.62,29.19,26.368,25.99,29.88
"SPY173259","pointe_ferry","16.2617","-61.82218","2018-02-26",27.9544262295082,28.02,29.265,26.355,26.04,29.67,27.8706938421509,27.82,29.42,26.51,26.04,30.16
"SPY173260","pointe_ferry","16.2617","-61.82218","2018-02-26",27.9544262295082,28.02,29.265,26.355,26.04,29.67,27.8706938421509,27.82,29.42,26.51,26.04,30.16
"SPY173271","pointe_ferry","16.26194","-61.82252","2018-02-28",27.9510928961749,28.02,29.265,26.3325,26.04,29.67,27.8677748917749,27.82,29.42,26.501,26.04,30.16
"SPY173272","pointe_ferry","16.26194","-61.82252","2018-02-28",27.9510928961749,28.02,29.265,26.3325,26.04,29.67,27.8677748917749,27.82,29.42,26.501,26.04,30.16
"SPY173253","riviere_salee","16.2552","-61.54755","2018-02-25",27.8622950819672,28.01,29.29,26.225,25.77,29.68,27.7505208333333,27.69,29.3245,26.35,25.77,29.91
