"code_spygen","station","latitude_start","longitude_start","date","mean_npp_1year","median_npp_1year","q95_npp_1year","q05_npp_1year","min_npp_1year","max_npp_1year","mean_npp_5year","median_npp_5year","q95_npp_5year","q05_npp_5year","min_npp_5year","max_npp_5year"
"SPY181729","margarita_south_west","13.34043","-81.39829","2018-06-28",324.354621887207,296.42399597168,434.658567810059,264.054878234863,262.350982666016,466.029968261719,300.482172648112,284.331390380859,433.957452392578,222.054341888428,220.750030517578,523.602416992188
"SPY181719","margarita_south_west","13.34043","-81.39829","2018-06-28",324.354621887207,296.42399597168,434.658567810059,264.054878234863,262.350982666016,466.029968261719,300.482172648112,284.331390380859,433.957452392578,222.054341888428,220.750030517578,523.602416992188
"SPY181723","providencia_west","13.34393","-81.39777","2018-06-29",324.354621887207,296.42399597168,434.658567810059,264.054878234863,262.350982666016,466.029968261719,300.482172648112,284.331390380859,433.957452392578,222.054341888428,220.750030517578,523.602416992188
"SPY181734","providencia_west","13.34393","-81.39777","2018-06-29",324.354621887207,296.42399597168,434.658567810059,264.054878234863,262.350982666016,466.029968261719,300.482172648112,284.331390380859,433.957452392578,222.054341888428,220.750030517578,523.602416992188
"SPY181732","providencia_north_west","13.36786","-81.38864","2018-06-30",324.354621887207,296.42399597168,434.658567810059,264.054878234863,262.350982666016,466.029968261719,300.482172648112,284.331390380859,433.957452392578,222.054341888428,220.750030517578,523.602416992188
"SPY181724","providencia_north_west","13.36786","-81.38864","2018-06-30",324.354621887207,296.42399597168,434.658567810059,264.054878234863,262.350982666016,466.029968261719,300.482172648112,284.331390380859,433.957452392578,222.054341888428,220.750030517578,523.602416992188
"SPY181721","catalina_north","13.39172","-81.38029","2018-07-01",325.818709153395,298.687408447266,431.806622314453,264.209777832031,262.350982666016,466.029968261719,300.482172648112,284.331390380859,433.957452392578,222.054341888428,220.750030517578,523.602416992188
"SPY181730","catalina_north","13.39172","-81.38029","2018-07-01",325.818709153395,298.687408447266,431.806622314453,264.209777832031,262.350982666016,466.029968261719,300.482172648112,284.331390380859,433.957452392578,222.054341888428,220.750030517578,523.602416992188
"SPY181725","providencia_north","13.38322","-81.35909","2018-07-01",325.818709153395,298.687408447266,431.806622314453,264.209777832031,262.350982666016,466.029968261719,300.482172648112,284.331390380859,433.957452392578,222.054341888428,220.750030517578,523.602416992188
"SPY181733","providencia_north","13.38322","-81.35909","2018-07-01",325.818709153395,298.687408447266,431.806622314453,264.209777832031,262.350982666016,466.029968261719,300.482172648112,284.331390380859,433.957452392578,222.054341888428,220.750030517578,523.602416992188
"SPY181718","providencia_east","13.36264","-81.34969","2018-07-02",331.107686360677,304.818878173828,434.658567810059,267.600382995605,265.448974609375,466.029968261719,300.482172648112,284.331390380859,433.957452392578,222.054341888428,220.750030517578,523.602416992188
"SPY181727","providencia_east","13.36264","-81.34969","2018-07-02",331.107686360677,304.818878173828,434.658567810059,267.600382995605,265.448974609375,466.029968261719,300.482172648112,284.331390380859,433.957452392578,222.054341888428,220.750030517578,523.602416992188
"SPY181726","providencia_south_east","13.34072","-81.35561","2018-07-02",331.107686360677,304.818878173828,434.658567810059,267.600382995605,265.448974609375,466.029968261719,300.482172648112,284.331390380859,433.957452392578,222.054341888428,220.750030517578,523.602416992188
"SPY181731","providencia_south_east","13.34072","-81.35561","2018-07-02",331.107686360677,304.818878173828,434.658567810059,267.600382995605,265.448974609375,466.029968261719,300.482172648112,284.331390380859,433.957452392578,222.054341888428,220.750030517578,523.602416992188
"SPY181717","patch1","13.36541","-81.41025","2018-07-03",331.107686360677,304.818878173828,434.658567810059,267.600382995605,265.448974609375,466.029968261719,300.482172648112,284.331390380859,433.957452392578,222.054341888428,220.750030517578,523.602416992188
"SPY181715","patch1","13.36541","-81.41025","2018-07-03",331.107686360677,304.818878173828,434.658567810059,267.600382995605,265.448974609375,466.029968261719,300.482172648112,284.331390380859,433.957452392578,222.054341888428,220.750030517578,523.602416992188
"SPY181728","patch2","13.36726","-81.41335","2018-07-03",331.107686360677,304.818878173828,434.658567810059,267.600382995605,265.448974609375,466.029968261719,300.482172648112,284.331390380859,433.957452392578,222.054341888428,220.750030517578,523.602416992188
"SPY181722","patch2","13.36726","-81.41335","2018-07-03",331.107686360677,304.818878173828,434.658567810059,267.600382995605,265.448974609375,466.029968261719,300.482172648112,284.331390380859,433.957452392578,222.054341888428,220.750030517578,523.602416992188
"SPY181716","patch3","13.32225","-81.36716","2018-07-04",272.039054870605,259.209037780762,355.644158935547,225.643274688721,221.779083251953,370.674224853516,243.292259216309,227.913696289062,291.005941772461,202.924272155762,195.222946166992,295.002471923828
"SPY180774","patch3","13.32225","-81.36716","2018-07-04",272.039054870605,259.209037780762,355.644158935547,225.643274688721,221.779083251953,370.674224853516,243.292259216309,227.913696289062,291.005941772461,202.924272155762,195.222946166992,295.002471923828
"SPY180581","control_lab",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SPY180582","malpelo_20m","3.9982","-81.56845","2018-03-14",520.32899983724,417.401657104492,922.617718505859,365.698492431641,344.772308349609,1171.86486816406,506.20482635498,509.630722045898,743.237362670898,344.813694763184,335.593994140625,796.388732910156
"SPY180583","malpelo_100m","3.99737","-81.56515","2018-03-14",520.32899983724,417.401657104492,922.617718505859,365.698492431641,344.772308349609,1171.86486816406,506.20482635498,509.630722045898,743.237362670898,344.813694763184,335.593994140625,796.388732910156
"SPY180584","malpelo_50m","4.00307","-81.5703","2018-03-16",516.341077168783,414.398742675781,926.608267211914,358.071293640137,342.820526123047,1173.95629882812,499.470461527507,505.7080078125,732.899038696289,348.311340332031,337.8974609375,811.151611328125
"SPY180585","malpelo_100m","4.00307","-81.5703","2018-03-16",516.341077168783,414.398742675781,926.608267211914,358.071293640137,342.820526123047,1173.95629882812,499.470461527507,505.7080078125,732.899038696289,348.311340332031,337.8974609375,811.151611328125
"SPY180586","malpelo_300m","4.00307","-81.5703","2018-03-16",516.341077168783,414.398742675781,926.608267211914,358.071293640137,342.820526123047,1173.95629882812,499.470461527507,505.7080078125,732.899038696289,348.311340332031,337.8974609375,811.151611328125
"SPY180587","malpelo_200m","4.00307","-81.5703","2018-03-16",516.341077168783,414.398742675781,926.608267211914,358.071293640137,342.820526123047,1173.95629882812,499.470461527507,505.7080078125,732.899038696289,348.311340332031,337.8974609375,811.151611328125
"SPY180588","malpelo_10m","4.00307","-81.5703","2018-03-16",516.341077168783,414.398742675781,926.608267211914,358.071293640137,342.820526123047,1173.95629882812,499.470461527507,505.7080078125,732.899038696289,348.311340332031,337.8974609375,811.151611328125
"SPY180589","malpelo1","4.01142","-81.59661","2018-03-14",516.674395243327,424.586532592773,922.601068115234,367.364685058594,343.375030517578,1120.62866210938,492.153635660807,476.475540161133,709.140228271484,346.912298583984,343.604644775391,797.224487304688
"SPY180590","malpelo1","4.01142","-81.59661","2018-03-14",516.674395243327,424.586532592773,922.601068115234,367.364685058594,343.375030517578,1120.62866210938,492.153635660807,476.475540161133,709.140228271484,346.912298583984,343.604644775391,797.224487304688
"SPY180591","malpelo_600m","3.98735","-81.57326","2018-03-15",520.32899983724,417.401657104492,922.617718505859,365.698492431641,344.772308349609,1171.86486816406,506.20482635498,509.630722045898,743.237362670898,344.813694763184,335.593994140625,796.388732910156
"SPY180592","malpelo2","4.00685","-81.60143","2018-03-14",516.674395243327,424.586532592773,922.601068115234,367.364685058594,343.375030517578,1120.62866210938,492.153635660807,476.475540161133,709.140228271484,346.912298583984,343.604644775391,797.224487304688
"SPY180593","malpelo6","3.98944","-81.60462","2018-03-16",512.784889221191,429.082794189453,906.963854980469,360.076388549805,333.861724853516,1111.95446777344,497.013094584147,478.329864501953,734.18498840332,348.057102966309,344.585144042969,824.930053710938
"SPY180594","malpelo2","4.00685","-81.60143","2018-03-14",516.674395243327,424.586532592773,922.601068115234,367.364685058594,343.375030517578,1120.62866210938,492.153635660807,476.475540161133,709.140228271484,346.912298583984,343.604644775391,797.224487304688
"SPY180595","malpelo5","4.00885","-81.60547","2018-03-16",516.674395243327,424.586532592773,922.601068115234,367.364685058594,343.375030517578,1120.62866210938,492.153635660807,476.475540161133,709.140228271484,346.912298583984,343.604644775391,797.224487304688
"SPY180596","malpelo3","4.00515","-81.59995","2018-03-15",516.674395243327,424.586532592773,922.601068115234,367.364685058594,343.375030517578,1120.62866210938,492.153635660807,476.475540161133,709.140228271484,346.912298583984,343.604644775391,797.224487304688
"SPY180597","malpelo3","4.00515","-81.59995","2018-03-15",516.674395243327,424.586532592773,922.601068115234,367.364685058594,343.375030517578,1120.62866210938,492.153635660807,476.475540161133,709.140228271484,346.912298583984,343.604644775391,797.224487304688
"SPY180598","malpelo5","4.00885","-81.60547","2018-03-16",516.674395243327,424.586532592773,922.601068115234,367.364685058594,343.375030517578,1120.62866210938,492.153635660807,476.475540161133,709.140228271484,346.912298583984,343.604644775391,797.224487304688
"SPY180599","malpelo4","3.99871","-81.62184","2018-03-15",512.784889221191,429.082794189453,906.963854980469,360.076388549805,333.861724853516,1111.95446777344,497.013094584147,478.329864501953,734.18498840332,348.057102966309,344.585144042969,824.930053710938
"SPY180600","bois_flottant","4.02167","-81.585","2018-03-19",516.674395243327,424.586532592773,922.601068115234,367.364685058594,343.375030517578,1120.62866210938,492.153635660807,476.475540161133,709.140228271484,346.912298583984,343.604644775391,797.224487304688
"SPY180602","malpelo6","3.98944","-81.60462","2018-03-16",512.784889221191,429.082794189453,906.963854980469,360.076388549805,333.861724853516,1111.95446777344,497.013094584147,478.329864501953,734.18498840332,348.057102966309,344.585144042969,824.930053710938
"SPY180604","malpelo4","3.99871","-81.62184","2018-03-15",512.784889221191,429.082794189453,906.963854980469,360.076388549805,333.861724853516,1111.95446777344,497.013094584147,478.329864501953,734.18498840332,348.057102966309,344.585144042969,824.930053710938
"SPY180782","camera1","4.00594","-81.60334","2018-03-24",516.674395243327,424.586532592773,922.601068115234,367.364685058594,343.375030517578,1120.62866210938,492.153635660807,476.475540161133,709.140228271484,346.912298583984,343.604644775391,797.224487304688
"SPY180778","camera1","4.00594","-81.60334","2018-03-24",516.674395243327,424.586532592773,922.601068115234,367.364685058594,343.375030517578,1120.62866210938,492.153635660807,476.475540161133,709.140228271484,346.912298583984,343.604644775391,797.224487304688
"SPY180781","camera2","4.00276","-81.60248","2018-03-24",516.674395243327,424.586532592773,922.601068115234,367.364685058594,343.375030517578,1120.62866210938,492.153635660807,476.475540161133,709.140228271484,346.912298583984,343.604644775391,797.224487304688
"SPY180776","camera2","4.00276","-81.60248","2018-03-24",516.674395243327,424.586532592773,922.601068115234,367.364685058594,343.375030517578,1120.62866210938,492.153635660807,476.475540161133,709.140228271484,346.912298583984,343.604644775391,797.224487304688
"SPY180605","camera3","4.00286","-81.60259","2018-03-25",516.674395243327,424.586532592773,922.601068115234,367.364685058594,343.375030517578,1120.62866210938,492.153635660807,476.475540161133,709.140228271484,346.912298583984,343.604644775391,797.224487304688
"SPY180601","camera3","4.00286","-81.60259","2018-03-25",516.674395243327,424.586532592773,922.601068115234,367.364685058594,343.375030517578,1120.62866210938,492.153635660807,476.475540161133,709.140228271484,346.912298583984,343.604644775391,797.224487304688
"SPY180603","bruv1","3.99357","-81.61842","2018-03-26",512.784889221191,429.082794189453,906.963854980469,360.076388549805,333.861724853516,1111.95446777344,497.013094584147,478.329864501953,734.18498840332,348.057102966309,344.585144042969,824.930053710938
"SPY180775","bruv1","3.99357","-81.61842","2018-03-26",512.784889221191,429.082794189453,906.963854980469,360.076388549805,333.861724853516,1111.95446777344,497.013094584147,478.329864501953,734.18498840332,348.057102966309,344.585144042969,824.930053710938
"SPY180779","bruv2","3.9929","-81.6205","2018-03-26",512.784889221191,429.082794189453,906.963854980469,360.076388549805,333.861724853516,1111.95446777344,497.013094584147,478.329864501953,734.18498840332,348.057102966309,344.585144042969,824.930053710938
"SPY180777","bruv2","3.9929","-81.6205","2018-03-26",512.784889221191,429.082794189453,906.963854980469,360.076388549805,333.861724853516,1111.95446777344,497.013094584147,478.329864501953,734.18498840332,348.057102966309,344.585144042969,824.930053710938
