;station;longitude_start;latitude_start;Voice_mean
137;NOUMEA_BAIE;166.379831;-22.22150599;1.19
136;Nord_Tevennec;-4.80916666666667;48.0847222222222;1.19
134;NEPOUI_LAGON;164.98312;-21.37910502;1.19
133;NEPOUI_FONDS_BLANCS;164.937613;-21.38726497;1.19
132;NEPOUI_BARRIERE_EXTERNE;164.918786;-21.39848499;1.19
131;NEPOUI_BAIE;164.981901;-21.35615897;1.19
123;marseille;5.36633;43.269;1.19
79;lagon_faka;-145.44823;-16.500328;1.19
78;juan_distance3;42.67116;-17.05712;1.19
77;juan_distance2;42.66977;-17.03868;1.19
76;juan_distance1;42.67851;-17.05547;1.19
75;juan_distance0;42.66956;-17.038661;1.19
74;juan_2;42.74781;-17.02874;1.19
73;jardin_eden;-61.52821;16.37651;1.19
72;imperiaux_2;5.39804;43.17492;1.19
71;goude;5.35105;43.23291;1.19
70;GOLONE_LAGON;164.027466;-20.37757698;1.19
69;GOLONE_FONDS_BLANCS;163.932218;-20.36162001;1.19
68;GOLONE_BARRIERE_EXTERNE;163.924875;-20.364925;1.19
67;GOLONE_BAIE;164.1217;-20.34452403;1.19
66;glorieuse_distance_50m;47.28871;-11.56593;1.19
65;glorieuse_distance_100m;47.28774;-11.56503;1.19
64;glorieuse_distance_0m;47.29144;-11.56444;1.19
63;glorieuse;47.28334;-11.58652;1.19
62;GLN_récif;163.2280480396;-19.4889089930803;1.19
61;GLN_lagon;163.22723600082;-19.3880020268261;1.19
60;GATOPE_LAGON;164.601102;-20.959544;1.19
59;GATOPE_FONDS_BLANCS;164.595707;-20.95967903;1.19
58;GATOPE_BARRIERE_EXTERNE;164.581627;-21.00147497;1.19
57;GATOPE_BAIE;164.620238;-20.95155001;1.19
56;fajou;-61.57521;16.359;1.19
55;europa_distance_50m;40.36129;-22.33078;1.19
54;europa_distance_0m;40.35581;-22.33281;1.19
43;chateau_petite_terre;-61.14683;16.20771;1.19
41;carry_le_rouet_3;5.28961;43.357043;1.19
40;carry_le_rouet_2;5.243485;43.331557;1.19
39;carry_le_rouet_1;5.169124;43.328101;1.19
38;cap_roux_3;6.829228;43.417858;1.19
37;cap_roux_2;6.88044;43.427372;1.19
36;cap_roux_1;6.923639;43.460438;1.19
30;calvi_4;8.879176;42.629439;1.19
29;calvi_3;8.860081;42.609901;1.19
28;calvi_2;8.810375;42.592608;1.19
27;calvi_1;8.725903;42.58508;1.19
24;BOURAIL_LAGON;165.545243;-21.73816597;1.19
23;BOURAIL_FONDS_BLANCS;165.474884;-21.68916897;1.19
22;BOURAIL_BARRIERE_EXTERNE;165.461305;-21.68929503;1.19
21;BOURAIL_BAIE;165.467292;-21.64239502;1.19
20;bouillante_large;-61.85716;16.07855;1.19
17;banyuls19_1;3.159341;42.468482;1.19
16;banyuls18_5;3.0496;42.570987;1.19
15;banyuls18_4;3.13962;42.517347;1.19
14;banyuls18_3;3.167352;42.460386;1.19
11;Baie_douarnenez_Nord;-4.75833333333333;48.095;1.19
10;Baie_Audierne_T7;-4.53222222222222;47.9880555555556;1.19
9;Baie_Audierne_T6;-4.49055555555556;47.9794444444444;1.19
8;Baie_Audierne_T5;-4.46027777777778;47.9569444444444;1.19
7;Baie_Audierne_T4;-4.43;47.9313888888889;1.19
6;Baie_Audierne_T3;-4.59;47.9077777777778;1.19
5;Baie_Audierne_T2;-4.53722222222222;47.8847222222222;1.19
4;Baie_Audierne_T1;-4.48777777777778;47.8713888888889;1.19
3;anse_colas;-61.52166;16.47047;1.19
2;anse_bertrand_large;-61.51445;16.50096;1.19
1;anse_bertrand_cote;-61.50429;16.48538;1.19
130;menorca_7;4.160777;39.848846;1.03
129;menorca_6;4.303324;39.829577;1.03
128;menorca_5;4.285683;39.957735;1.03
127;menorca_4;4.096724;40.07145;1.03
126;menorca_3;4.070868;40.088462;1.03
125;menorca_2;3.830327;39.918649;1.03
124;menorca_1;3.79002;40.022518;1.03
