code_spygen;date;mean_DHW_1year;median_DHW_1year;q95_DHW_1year;q05_DHW_1year;min_DHW_1year;max_DHW_1year;mean_DHW_5year;median_DHW_5year;q95_DHW_5year;q05_DHW_5year;min_DHW_5year;max_DHW_5year;mean_SST_1year;median_SST_1year;q95_SST_1year;q05_SST_1year;min_SST_1year;max_SST_1year;mean_SST_5year;median_SST_5year;q95_SST_5year;q05_SST_5year;min_SST_5year;max_SST_5year;mean_sss_1year;median_sss_1year;q95_sss_1year;q05_sss_1year;min_sss_1year;max_sss_1year;mean_sss_5year;median_sss_5year;q95_sss_5year;q05_sss_5year;min_sss_5year;max_sss_5year;mean_npp_1year;median_npp_1year;q95_npp_1year;q05_npp_1year;min_npp_1year;max_npp_1year;mean_npp_5year;median_npp_5year;q95_npp_5year;q05_npp_5year;min_npp_5year;max_npp_5year;pH_mean;pH_min;pH_max
SPY181729;28/06/2018;1.98065569343381;0;8.47999981045723;0;0;8.62999980710447;0.582508201656816;0;3.5599999204278;0;0;8.62999980710447;28.1769945355191;28.12;29.7575;26.7425;26.28;30.27;28.1392387732749;28.08;29.35;27.0225;26.28;30.27;35.881383895874;35.8852424621582;36.0922962188721;35.6695865631104;35.6687431335449;36.1151275634766;36.0343827747163;36.0488548278809;36.2878303527832;35.7410844802857;35.6687431335449;36.4243965148926;324.354621887207;296.42399597168;434.658567810059;264.054878234863;262.350982666016;466.029968261719;312.848079427083;289.810470581055;486.984921264648;222.123564147949;200.049728393555;652.639343261719;8.06948182317946;8.05867351629795;8.08044890868358
SPY181719;29/06/2018;1.98065569343381;0;8.47999981045723;0;0;8.62999980710447;0.582508201656816;0;3.5599999204278;0;0;8.62999980710447;28.1746448087432;28.12;29.7575;26.7425;26.28;30.27;28.1391292442497;28.08;29.35;27.0225;26.28;30.27;35.881383895874;35.8852424621582;36.0922962188721;35.6695865631104;35.6687431335449;36.1151275634766;36.0343827747163;36.0488548278809;36.2878303527832;35.7410844802857;35.6687431335449;36.4243965148926;324.354621887207;296.42399597168;434.658567810059;264.054878234863;262.350982666016;466.029968261719;312.848079427083;289.810470581055;486.984921264648;222.123564147949;200.049728393555;652.639343261719;8.06948182317946;8.05867351629795;8.08044890868358
SPY181723;29/06/2018;1.98065569343381;0;8.47999981045723;0;0;8.62999980710447;0.582508201656816;0;3.5599999204278;0;0;8.62999980710447;28.1746448087432;28.12;29.7575;26.7425;26.28;30.27;28.1391292442497;28.08;29.35;27.0225;26.28;30.27;35.881383895874;35.8852424621582;36.0922962188721;35.6695865631104;35.6687431335449;36.1151275634766;36.0343827747163;36.0488548278809;36.2878303527832;35.7410844802857;35.6687431335449;36.4243965148926;324.354621887207;296.42399597168;434.658567810059;264.054878234863;262.350982666016;466.029968261719;312.848079427083;289.810470581055;486.984921264648;222.123564147949;200.049728393555;652.639343261719;8.06948182317946;8.05867351629795;8.08044890868358
SPY181734;29/06/2018;1.98065569343381;0;8.47999981045723;0;0;8.62999980710447;0.582508201656816;0;3.5599999204278;0;0;8.62999980710447;28.1746448087432;28.12;29.7575;26.7425;26.28;30.27;28.1391292442497;28.08;29.35;27.0225;26.28;30.27;35.881383895874;35.8852424621582;36.0922962188721;35.6695865631104;35.6687431335449;36.1151275634766;36.0343827747163;36.0488548278809;36.2878303527832;35.7410844802857;35.6687431335449;36.4243965148926;324.354621887207;296.42399597168;434.658567810059;264.054878234863;262.350982666016;466.029968261719;312.848079427083;289.810470581055;486.984921264648;222.123564147949;200.049728393555;652.639343261719;8.06948182317946;8.05867351629795;8.08044890868358
SPY181732;30/06/2018;2.17232235581639;0;9.30999979190528;0;0;9.45999978855252;0.625361431805215;0;3.94499991182238;0;0;9.45999978855252;28.1724590163934;28.12;29.7475;26.76;26.31;30.31;28.1395947426068;28.09;29.35;27.02;26.31;30.31;35.881383895874;35.8852424621582;36.0922962188721;35.6695865631104;35.6687431335449;36.1151275634766;36.0343827747163;36.0488548278809;36.2878303527832;35.7410844802857;35.6687431335449;36.4243965148926;324.354621887207;296.42399597168;434.658567810059;264.054878234863;262.350982666016;466.029968261719;312.848079427083;289.810470581055;486.984921264648;222.123564147949;200.049728393555;652.639343261719;8.06948182317946;8.05867351629795;8.08044890868358
SPY181724;30/06/2018;2.17232235581639;0;9.30999979190528;0;0;9.45999978855252;0.625361431805215;0;3.94499991182238;0;0;9.45999978855252;28.1724590163934;28.12;29.7475;26.76;26.31;30.31;28.1395947426068;28.09;29.35;27.02;26.31;30.31;35.881383895874;35.8852424621582;36.0922962188721;35.6695865631104;35.6687431335449;36.1151275634766;36.0343827747163;36.0488548278809;36.2878303527832;35.7410844802857;35.6687431335449;36.4243965148926;324.354621887207;296.42399597168;434.658567810059;264.054878234863;262.350982666016;466.029968261719;312.848079427083;289.810470581055;486.984921264648;222.123564147949;200.049728393555;652.639343261719;8.06948182317946;8.05867351629795;8.08044890868358
SPY181721;01/07/2018;2.17232235581639;0;9.30999979190528;0;0;9.45999978855252;0.625361431805215;0;3.94499991182238;0;0;9.45999978855252;28.1707103825137;28.12;29.7475;26.76;26.31;30.31;28.1391840087623;28.085;29.35;27.02;26.31;30.31;35.881383895874;35.8852424621582;36.0922962188721;35.6695865631104;35.6687431335449;36.1151275634766;36.0343827747163;36.0488548278809;36.2878303527832;35.7410844802857;35.6687431335449;36.4243965148926;325.818709153395;298.687408447266;431.806622314453;264.209777832031;262.350982666016;466.029968261719;312.992069498698;289.810470581055;486.984921264648;222.123564147949;200.049728393555;652.639343261719;8.06948182317946;8.05867351629795;8.08044890868358
SPY181730;01/07/2018;2.17232235581639;0;9.30999979190528;0;0;9.45999978855252;0.625361431805215;0;3.94499991182238;0;0;9.45999978855252;28.1707103825137;28.12;29.7475;26.76;26.31;30.31;28.1391840087623;28.085;29.35;27.02;26.31;30.31;35.881383895874;35.8852424621582;36.0922962188721;35.6695865631104;35.6687431335449;36.1151275634766;36.0343827747163;36.0488548278809;36.2878303527832;35.7410844802857;35.6687431335449;36.4243965148926;325.818709153395;298.687408447266;431.806622314453;264.209777832031;262.350982666016;466.029968261719;312.992069498698;289.810470581055;486.984921264648;222.123564147949;200.049728393555;652.639343261719;8.06948182317946;8.05867351629795;8.08044890868358
SPY181725;01/07/2018;2.17232235581639;0;9.30999979190528;0;0;9.45999978855252;0.625361431805215;0;3.94499991182238;0;0;9.45999978855252;28.1707103825137;28.12;29.7475;26.76;26.31;30.31;28.1391840087623;28.085;29.35;27.02;26.31;30.31;35.881383895874;35.8852424621582;36.0922962188721;35.6695865631104;35.6687431335449;36.1151275634766;36.0343827747163;36.0488548278809;36.2878303527832;35.7410844802857;35.6687431335449;36.4243965148926;325.818709153395;298.687408447266;431.806622314453;264.209777832031;262.350982666016;466.029968261719;312.992069498698;289.810470581055;486.984921264648;222.123564147949;200.049728393555;652.639343261719;8.06948182317946;8.05867351629795;8.08044890868358
SPY181733;01/07/2018;2.17232235581639;0;9.30999979190528;0;0;9.45999978855252;0.625361431805215;0;3.94499991182238;0;0;9.45999978855252;28.1707103825137;28.12;29.7475;26.76;26.31;30.31;28.1391840087623;28.085;29.35;27.02;26.31;30.31;35.881383895874;35.8852424621582;36.0922962188721;35.6695865631104;35.6687431335449;36.1151275634766;36.0343827747163;36.0488548278809;36.2878303527832;35.7410844802857;35.6687431335449;36.4243965148926;325.818709153395;298.687408447266;431.806622314453;264.209777832031;262.350982666016;466.029968261719;312.992069498698;289.810470581055;486.984921264648;222.123564147949;200.049728393555;652.639343261719;8.06948182317946;8.05867351629795;8.08044890868358
SPY181718;02/07/2018;2.02827864318903;0;8.67999980598688;0;0;8.8399998024106;0.587009844491574;0;3.6199999190867;0;0;8.8399998024106;28.164781420765;28.1;29.73;26.73;26.3;30.36;28.1339485213582;28.08;29.3575;27.01;26.3;30.36;35.881383895874;35.8852424621582;36.0922962188721;35.6695865631104;35.6687431335449;36.1151275634766;36.0343827747163;36.0488548278809;36.2878303527832;35.7410844802857;35.6687431335449;36.4243965148926;331.107686360677;304.818878173828;434.658567810059;267.600382995605;265.448974609375;466.029968261719;312.992069498698;289.810470581055;486.984921264648;222.123564147949;200.049728393555;652.639343261719;8.06948182317946;8.05867351629795;8.08044890868358
SPY181727;02/07/2018;2.02827864318903;0;8.67999980598688;0;0;8.8399998024106;0.587009844491574;0;3.6199999190867;0;0;8.8399998024106;28.164781420765;28.1;29.73;26.73;26.3;30.36;28.1339485213582;28.08;29.3575;27.01;26.3;30.36;35.881383895874;35.8852424621582;36.0922962188721;35.6695865631104;35.6687431335449;36.1151275634766;36.0343827747163;36.0488548278809;36.2878303527832;35.7410844802857;35.6687431335449;36.4243965148926;331.107686360677;304.818878173828;434.658567810059;267.600382995605;265.448974609375;466.029968261719;312.992069498698;289.810470581055;486.984921264648;222.123564147949;200.049728393555;652.639343261719;8.06948182317946;8.05867351629795;8.08044890868358
SPY181726;02/07/2018;1.98065569343381;0;8.47999981045723;0;0;8.62999980710447;0.582508201656816;0;3.5599999204278;0;0;8.62999980710447;28.1689344262295;28.12;29.7575;26.7425;26.28;30.27;28.1378806133625;28.08;29.35;27.0225;26.28;30.27;35.881383895874;35.8852424621582;36.0922962188721;35.6695865631104;35.6687431335449;36.1151275634766;36.0343827747163;36.0488548278809;36.2878303527832;35.7410844802857;35.6687431335449;36.4243965148926;331.107686360677;304.818878173828;434.658567810059;267.600382995605;265.448974609375;466.029968261719;312.992069498698;289.810470581055;486.984921264648;222.123564147949;200.049728393555;652.639343261719;8.06948182317946;8.05867351629795;8.08044890868358
