"latitude_start","longitude_start","date","mean_DHW_1year","median_DHW_1year","q95_DHW_1year","q05_DHW_1year","min_DHW_1year","max_DHW_1year","mean_DHW_5year","median_DHW_5year","q95_DHW_5year","q05_DHW_5year","min_DHW_5year","max_DHW_5year"
13.34043,-81.39829,2018-06-28,1.98065569343381,0,8.47999981045723,0,0,8.62999980710447,0.824360765887826,0,6.28799985945224,0,0,8.62999980710447
13.34043,-81.39829,2018-06-28,1.98065569343381,0,8.47999981045723,0,0,8.62999980710447,0.823714715130861,0,6.27999985963106,0,0,8.62999980710447
13.34043,-81.39829,2018-06-28,1.98065569343381,0,8.47999981045723,0,0,8.62999980710447,0.824360765887826,0,6.28799985945224,0,0,8.62999980710447
13.34043,-81.39829,2018-06-28,1.98065569343381,0,8.47999981045723,0,0,8.62999980710447,0.823714715130861,0,6.27999985963106,0,0,8.62999980710447
13.34043,-81.39829,2018-06-29,1.98065569343381,0,8.47999981045723,0,0,8.62999980710447,0.824360765887826,0,6.28799985945224,0,0,8.62999980710447
13.34043,-81.39829,2018-06-29,1.98065569343381,0,8.47999981045723,0,0,8.62999980710447,0.823714715130861,0,6.27999985963106,0,0,8.62999980710447
13.34043,-81.39829,2018-06-29,1.98065569343381,0,8.47999981045723,0,0,8.62999980710447,0.824360765887826,0,6.28799985945224,0,0,8.62999980710447
13.34043,-81.39829,2018-06-29,1.98065569343381,0,8.47999981045723,0,0,8.62999980710447,0.823714715130861,0,6.27999985963106,0,0,8.62999980710447
13.34393,-81.39777,2018-06-29,1.98065569343381,0,8.47999981045723,0,0,8.62999980710447,0.823714715130861,0,6.27999985963106,0,0,8.62999980710447
13.36786,-81.38864,2018-06-30,2.17232235581639,0,9.30999979190528,0,0,9.45999978855252,0.883688312276218,0,6.69599985033274,0,0,9.45999978855252
13.39172,-81.38029,2018-07-01,2.17232235581639,0,9.30999979190528,0,0,9.45999978855252,0.882996850373028,0,6.689499850478,0,0,9.45999978855252
13.38322,-81.35909,2018-07-01,2.17232235581639,0,9.30999979190528,0,0,9.45999978855252,0.882996850373028,0,6.689499850478,0,0,9.45999978855252
13.36264,-81.34969,2018-07-02,2.02827864318903,0,8.67999980598688,0,0,8.8399998024106,0.827552757108696,0,6.37199985757469,0,0,8.8399998024106
13.34072,-81.35561,2018-07-02,1.98065569343381,0,8.47999981045723,0,0,8.62999980710447,0.821782624321328,0,6.25599986016749,0,0,8.62999980710447
13.36541,-81.41025,2018-07-03,2.10040978911776,0,8.99999979883432,0,0,9.14999979548156,0.86316404320678,0,6.55299985352903,0,0,9.14999979548156
13.36726,-81.41335,2018-07-03,2.10040978911776,0,8.99999979883432,0,0,9.14999979548156,0.86316404320678,0,6.55299985352903,0,0,9.14999979548156
13.32225,-81.36716,2018-07-04,1.98065569343381,0,8.47999981045723,0,0,8.62999980710447,0.820499591340342,0,6.23999986052513,0,0,8.62999980710447
3.9982,-81.56845,2018-03-14,0.452076492627543,0,1.96999995596707,0,0,1.96999995596707,1.08352435559315,0,4.8199998922646,0,0,5.95999986678362
3.99737,-81.56515,2018-03-14,0.452076492627543,0,1.96999995596707,0,0,1.96999995596707,1.08352435559315,0,4.8199998922646,0,0,5.95999986678362
4.00307,-81.5703,2018-03-16,0.495901628259997,0,2.15999995172024,0,0,2.15999995172024,1.10981210158147,0,4.92999988980591,0,0,5.70999987237155
4.00307,-81.5703,2018-03-16,0.495901628259997,0,2.15999995172024,0,0,2.15999995172024,1.11171083913764,0,4.92999988980591,0,0,5.70999987237155
4.00307,-81.5703,2018-03-16,0.495901628259997,0,2.15999995172024,0,0,2.15999995172024,1.10981210158147,0,4.92999988980591,0,0,5.70999987237155
4.00307,-81.5703,2018-03-16,0.495901628259997,0,2.15999995172024,0,0,2.15999995172024,1.11171083913764,0,4.92999988980591,0,0,5.70999987237155
4.00307,-81.5703,2018-03-14,0.495901628259997,0,2.15999995172024,0,0,2.15999995172024,1.10981210158147,0,4.92999988980591,0,0,5.70999987237155
4.00307,-81.5703,2018-03-14,0.495901628259997,0,2.15999995172024,0,0,2.15999995172024,1.11171083913764,0,4.92999988980591,0,0,5.70999987237155
4.00307,-81.5703,2018-03-14,0.495901628259997,0,2.15999995172024,0,0,2.15999995172024,1.10981210158147,0,4.92999988980591,0,0,5.70999987237155
4.00307,-81.5703,2018-03-14,0.495901628259997,0,2.15999995172024,0,0,2.15999995172024,1.11171083913764,0,4.92999988980591,0,0,5.70999987237155
4.01142,-81.59661,2018-03-14,0.495901628259997,0,2.15999995172024,0,0,2.15999995172024,1.11171083913764,0,4.92999988980591,0,0,5.70999987237155
3.98735,-81.57326,2018-03-15,0.452076492627543,0,1.96999995596707,0,0,1.96999995596707,1.08259826640033,0,4.8199998922646,0,0,5.95999986678362
4.00685,-81.60143,2018-03-14,0.459207640009134,0,1.99999995529652,0,0,1.99999995529652,1.06925575026622,0,4.79999989271164,0,0,5.55999987572432
3.98944,-81.60462,2018-03-16,0.450136601960521,0,1.95999995619059,0,0,1.95999995619059,1.02906914864668,0,4.68999989517033,0,0,5.38999987952411
4.00885,-81.60547,2018-03-16,0.459207640009134,0,1.99999995529652,0,0,1.99999995529652,1.06742952353648,0,4.79999989271164,0,0,5.55999987572432
4.00515,-81.59995,2018-03-15,0.495901628259997,0,2.15999995172024,0,0,2.15999995172024,1.11076065893325,0,4.92999988980591,0,0,5.70999987237155
3.99871,-81.62184,2018-03-15,0.450136601960521,0,1.95999995619059,0,0,1.95999995619059,1.02994869492757,0,4.68999989517033,0,0,5.38999987952411
