"code_spygen","station","latitude_start","longitude_start","date","mean_sss_1year","median_sss_1year","q95_sss_1year","q05_sss_1year","min_sss_1year","max_sss_1year","mean_sss_5year","median_sss_5year","q95_sss_5year","q05_sss_5year","min_sss_5year","max_sss_5year"
"SPY181729","margarita_south_west","13.34043","-81.39829","2018-06-28",35.9162925084432,35.9012813568115,36.0680740356445,35.7794692993164,35.7498779296875,36.0686950683594,36.0121641159058,36.066104888916,36.1918643951416,35.7600706100464,35.7521209716797,36.2119598388672
"SPY181719","margarita_south_west","13.34043","-81.39829","2018-06-28",35.9162925084432,35.9012813568115,36.0680740356445,35.7794692993164,35.7498779296875,36.0686950683594,36.0121641159058,36.066104888916,36.1918643951416,35.7600706100464,35.7521209716797,36.2119598388672
"SPY181723","providencia_west","13.34393","-81.39777","2018-06-29",35.9162925084432,35.9012813568115,36.0680740356445,35.7794692993164,35.7498779296875,36.0686950683594,36.0121641159058,36.066104888916,36.1918643951416,35.7600706100464,35.7521209716797,36.2119598388672
"SPY181734","providencia_west","13.34393","-81.39777","2018-06-29",35.9162925084432,35.9012813568115,36.0680740356445,35.7794692993164,35.7498779296875,36.0686950683594,36.0121641159058,36.066104888916,36.1918643951416,35.7600706100464,35.7521209716797,36.2119598388672
"SPY181732","providencia_north_west","13.36786","-81.38864","2018-06-30",35.9162925084432,35.9012813568115,36.0680740356445,35.7794692993164,35.7498779296875,36.0686950683594,36.0121641159058,36.066104888916,36.1918643951416,35.7600706100464,35.7521209716797,36.2119598388672
"SPY181724","providencia_north_west","13.36786","-81.38864","2018-06-30",35.9162925084432,35.9012813568115,36.0680740356445,35.7794692993164,35.7498779296875,36.0686950683594,36.0121641159058,36.066104888916,36.1918643951416,35.7600706100464,35.7521209716797,36.2119598388672
"SPY181721","catalina_north","13.39172","-81.38029","2018-07-01",35.9162925084432,35.9012813568115,36.0680740356445,35.7794692993164,35.7498779296875,36.0686950683594,36.0121641159058,36.066104888916,36.1918643951416,35.7600706100464,35.7521209716797,36.2119598388672
"SPY181730","catalina_north","13.39172","-81.38029","2018-07-01",35.9162925084432,35.9012813568115,36.0680740356445,35.7794692993164,35.7498779296875,36.0686950683594,36.0121641159058,36.066104888916,36.1918643951416,35.7600706100464,35.7521209716797,36.2119598388672
"SPY181725","providencia_north","13.38322","-81.35909","2018-07-01",35.9162925084432,35.9012813568115,36.0680740356445,35.7794692993164,35.7498779296875,36.0686950683594,36.0121641159058,36.066104888916,36.1918643951416,35.7600706100464,35.7521209716797,36.2119598388672
"SPY181733","providencia_north","13.38322","-81.35909","2018-07-01",35.9162925084432,35.9012813568115,36.0680740356445,35.7794692993164,35.7498779296875,36.0686950683594,36.0121641159058,36.066104888916,36.1918643951416,35.7600706100464,35.7521209716797,36.2119598388672
"SPY181718","providencia_east","13.36264","-81.34969","2018-07-02",35.9162925084432,35.9012813568115,36.0680740356445,35.7794692993164,35.7498779296875,36.0686950683594,36.0121641159058,36.066104888916,36.1918643951416,35.7600706100464,35.7521209716797,36.2119598388672
"SPY181727","providencia_east","13.36264","-81.34969","2018-07-02",35.9162925084432,35.9012813568115,36.0680740356445,35.7794692993164,35.7498779296875,36.0686950683594,36.0121641159058,36.066104888916,36.1918643951416,35.7600706100464,35.7521209716797,36.2119598388672
"SPY181726","providencia_south_east","13.34072","-81.35561","2018-07-02",35.9162925084432,35.9012813568115,36.0680740356445,35.7794692993164,35.7498779296875,36.0686950683594,36.0121641159058,36.066104888916,36.1918643951416,35.7600706100464,35.7521209716797,36.2119598388672
"SPY181731","providencia_south_east","13.34072","-81.35561","2018-07-02",35.9162925084432,35.9012813568115,36.0680740356445,35.7794692993164,35.7498779296875,36.0686950683594,36.0121641159058,36.066104888916,36.1918643951416,35.7600706100464,35.7521209716797,36.2119598388672
"SPY181717","patch1","13.36541","-81.41025","2018-07-03",35.9162925084432,35.9012813568115,36.0680740356445,35.7794692993164,35.7498779296875,36.0686950683594,36.0121641159058,36.066104888916,36.1918643951416,35.7600706100464,35.7521209716797,36.2119598388672
"SPY181715","patch1","13.36541","-81.41025","2018-07-03",35.9162925084432,35.9012813568115,36.0680740356445,35.7794692993164,35.7498779296875,36.0686950683594,36.0121641159058,36.066104888916,36.1918643951416,35.7600706100464,35.7521209716797,36.2119598388672
"SPY181728","patch2","13.36726","-81.41335","2018-07-03",35.9162925084432,35.9012813568115,36.0680740356445,35.7794692993164,35.7498779296875,36.0686950683594,36.0121641159058,36.066104888916,36.1918643951416,35.7600706100464,35.7521209716797,36.2119598388672
"SPY181722","patch2","13.36726","-81.41335","2018-07-03",35.9162925084432,35.9012813568115,36.0680740356445,35.7794692993164,35.7498779296875,36.0686950683594,36.0121641159058,36.066104888916,36.1918643951416,35.7600706100464,35.7521209716797,36.2119598388672
"SPY181716","patch3","13.32225","-81.36716","2018-07-04",35.9162925084432,35.9012813568115,36.0680740356445,35.7794692993164,35.7498779296875,36.0686950683594,36.0121641159058,36.066104888916,36.1918643951416,35.7600706100464,35.7521209716797,36.2119598388672
"SPY180774","patch3","13.32225","-81.36716","2018-07-04",35.9162925084432,35.9012813568115,36.0680740356445,35.7794692993164,35.7498779296875,36.0686950683594,36.0121641159058,36.066104888916,36.1918643951416,35.7600706100464,35.7521209716797,36.2119598388672
"SPY180581","control_lab",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
