"code_spygen","station","latitude_start","longitude_start","date","mean_DHW_1year","median_DHW_1year","q95_DHW_1year","q05_DHW_1year","min_DHW_1year","max_DHW_1year","mean_DHW_5year","median_DHW_5year","q95_DHW_5year","q05_DHW_5year","min_DHW_5year","max_DHW_5year"
"SPY181729","margarita_south_west","13.34043","-81.39829","2018-06-28",1.98065569343381,0,8.47999981045723,0,0,8.62999980710447,0.824360765887826,0,6.28799985945224,0,0,8.62999980710447
"SPY181719","margarita_south_west","13.34043","-81.39829","2018-06-28",1.98065569343381,0,8.47999981045723,0,0,8.62999980710447,0.824360765887826,0,6.28799985945224,0,0,8.62999980710447
"SPY181723","providencia_west","13.34393","-81.39777","2018-06-29",1.98065569343381,0,8.47999981045723,0,0,8.62999980710447,0.823714715130861,0,6.27999985963106,0,0,8.62999980710447
"SPY181734","providencia_west","13.34393","-81.39777","2018-06-29",1.98065569343381,0,8.47999981045723,0,0,8.62999980710447,0.823714715130861,0,6.27999985963106,0,0,8.62999980710447
"SPY181732","providencia_north_west","13.36786","-81.38864","2018-06-30",2.17232235581639,0,9.30999979190528,0,0,9.45999978855252,0.883688312276218,0,6.69599985033274,0,0,9.45999978855252
"SPY181724","providencia_north_west","13.36786","-81.38864","2018-06-30",2.17232235581639,0,9.30999979190528,0,0,9.45999978855252,0.883688312276218,0,6.69599985033274,0,0,9.45999978855252
"SPY181721","catalina_north","13.39172","-81.38029","2018-07-01",2.17232235581639,0,9.30999979190528,0,0,9.45999978855252,0.882996850373028,0,6.689499850478,0,0,9.45999978855252
"SPY181730","catalina_north","13.39172","-81.38029","2018-07-01",2.17232235581639,0,9.30999979190528,0,0,9.45999978855252,0.882996850373028,0,6.689499850478,0,0,9.45999978855252
"SPY181725","providencia_north","13.38322","-81.35909","2018-07-01",2.17232235581639,0,9.30999979190528,0,0,9.45999978855252,0.882996850373028,0,6.689499850478,0,0,9.45999978855252
"SPY181733","providencia_north","13.38322","-81.35909","2018-07-01",2.17232235581639,0,9.30999979190528,0,0,9.45999978855252,0.882996850373028,0,6.689499850478,0,0,9.45999978855252
