"latitude_start","longitude_start","date","mean_npp_1year","median_npp_1year","q95_npp_1year","q05_npp_1year","min_npp_1year","max_npp_1year","mean_npp_5year","median_npp_5year","q95_npp_5year","q05_npp_5year","min_npp_5year","max_npp_5year"
13.34043,-81.39829,2018-06-28,324.354621887207,296.42399597168,434.658567810059,264.054878234863,262.350982666016,466.029968261719,300.482172648112,284.331390380859,433.957452392578,222.054341888428,220.750030517578,523.602416992188
13.34043,-81.39829,2018-06-29,324.354621887207,296.42399597168,434.658567810059,264.054878234863,262.350982666016,466.029968261719,300.482172648112,284.331390380859,433.957452392578,222.054341888428,220.750030517578,523.602416992188
13.34393,-81.39777,2018-06-29,324.354621887207,296.42399597168,434.658567810059,264.054878234863,262.350982666016,466.029968261719,300.482172648112,284.331390380859,433.957452392578,222.054341888428,220.750030517578,523.602416992188
13.36786,-81.38864,2018-06-30,324.354621887207,296.42399597168,434.658567810059,264.054878234863,262.350982666016,466.029968261719,300.482172648112,284.331390380859,433.957452392578,222.054341888428,220.750030517578,523.602416992188
13.39172,-81.38029,2018-07-01,325.818709153395,298.687408447266,431.806622314453,264.209777832031,262.350982666016,466.029968261719,300.482172648112,284.331390380859,433.957452392578,222.054341888428,220.750030517578,523.602416992188
13.38322,-81.35909,2018-07-01,325.818709153395,298.687408447266,431.806622314453,264.209777832031,262.350982666016,466.029968261719,300.482172648112,284.331390380859,433.957452392578,222.054341888428,220.750030517578,523.602416992188
13.36264,-81.34969,2018-07-02,331.107686360677,304.818878173828,434.658567810059,267.600382995605,265.448974609375,466.029968261719,300.482172648112,284.331390380859,433.957452392578,222.054341888428,220.750030517578,523.602416992188
13.34072,-81.35561,2018-07-02,331.107686360677,304.818878173828,434.658567810059,267.600382995605,265.448974609375,466.029968261719,300.482172648112,284.331390380859,433.957452392578,222.054341888428,220.750030517578,523.602416992188
13.36541,-81.41025,2018-07-03,331.107686360677,304.818878173828,434.658567810059,267.600382995605,265.448974609375,466.029968261719,300.482172648112,284.331390380859,433.957452392578,222.054341888428,220.750030517578,523.602416992188
13.36726,-81.41335,2018-07-03,331.107686360677,304.818878173828,434.658567810059,267.600382995605,265.448974609375,466.029968261719,300.482172648112,284.331390380859,433.957452392578,222.054341888428,220.750030517578,523.602416992188
13.32225,-81.36716,2018-07-04,272.039054870605,259.209037780762,355.644158935547,225.643274688721,221.779083251953,370.674224853516,243.292259216309,227.913696289062,291.005941772461,202.924272155762,195.222946166992,295.002471923828
3.9982,-81.56845,2018-03-14,520.32899983724,417.401657104492,922.617718505859,365.698492431641,344.772308349609,1171.86486816406,506.20482635498,509.630722045898,743.237362670898,344.813694763184,335.593994140625,796.388732910156
3.99737,-81.56515,2018-03-14,520.32899983724,417.401657104492,922.617718505859,365.698492431641,344.772308349609,1171.86486816406,506.20482635498,509.630722045898,743.237362670898,344.813694763184,335.593994140625,796.388732910156
4.00307,-81.5703,2018-03-16,516.341077168783,414.398742675781,926.608267211914,358.071293640137,342.820526123047,1173.95629882812,499.470461527507,505.7080078125,732.899038696289,348.311340332031,337.8974609375,811.151611328125
4.00307,-81.5703,2018-03-14,516.341077168783,414.398742675781,926.608267211914,358.071293640137,342.820526123047,1173.95629882812,499.470461527507,505.7080078125,732.899038696289,348.311340332031,337.8974609375,811.151611328125
4.01142,-81.59661,2018-03-14,516.674395243327,424.586532592773,922.601068115234,367.364685058594,343.375030517578,1120.62866210938,492.153635660807,476.475540161133,709.140228271484,346.912298583984,343.604644775391,797.224487304688
3.98735,-81.57326,2018-03-15,520.32899983724,417.401657104492,922.617718505859,365.698492431641,344.772308349609,1171.86486816406,506.20482635498,509.630722045898,743.237362670898,344.813694763184,335.593994140625,796.388732910156
4.00685,-81.60143,2018-03-14,516.674395243327,424.586532592773,922.601068115234,367.364685058594,343.375030517578,1120.62866210938,492.153635660807,476.475540161133,709.140228271484,346.912298583984,343.604644775391,797.224487304688
3.98944,-81.60462,2018-03-16,512.784889221191,429.082794189453,906.963854980469,360.076388549805,333.861724853516,1111.95446777344,497.013094584147,478.329864501953,734.18498840332,348.057102966309,344.585144042969,824.930053710938
4.00885,-81.60547,2018-03-16,516.674395243327,424.586532592773,922.601068115234,367.364685058594,343.375030517578,1120.62866210938,492.153635660807,476.475540161133,709.140228271484,346.912298583984,343.604644775391,797.224487304688
4.00515,-81.59995,2018-03-15,516.674395243327,424.586532592773,922.601068115234,367.364685058594,343.375030517578,1120.62866210938,492.153635660807,476.475540161133,709.140228271484,346.912298583984,343.604644775391,797.224487304688
3.99871,-81.62184,2018-03-15,512.784889221191,429.082794189453,906.963854980469,360.076388549805,333.861724853516,1111.95446777344,497.013094584147,478.329864501953,734.18498840332,348.057102966309,344.585144042969,824.930053710938
4.02167,-81.585,2018-03-19,516.674395243327,424.586532592773,922.601068115234,367.364685058594,343.375030517578,1120.62866210938,492.153635660807,476.475540161133,709.140228271484,346.912298583984,343.604644775391,797.224487304688
4.00594,-81.60334,2018-03-24,516.674395243327,424.586532592773,922.601068115234,367.364685058594,343.375030517578,1120.62866210938,492.153635660807,476.475540161133,709.140228271484,346.912298583984,343.604644775391,797.224487304688
4.00276,-81.60248,2018-03-24,516.674395243327,424.586532592773,922.601068115234,367.364685058594,343.375030517578,1120.62866210938,492.153635660807,476.475540161133,709.140228271484,346.912298583984,343.604644775391,797.224487304688
4.00286,-81.60259,2018-03-25,516.674395243327,424.586532592773,922.601068115234,367.364685058594,343.375030517578,1120.62866210938,492.153635660807,476.475540161133,709.140228271484,346.912298583984,343.604644775391,797.224487304688
